date,open,low,high,close,volume
2024-06-05 23:45:00,155.568,155.561,155.615,155.564,949
2024-06-05 23:30:00,155.538,155.529,155.665,155.564,1264
2024-06-05 23:15:00,155.652,155.526,155.672,155.539,1236
2024-06-05 23:00:00,155.647,155.62,155.686,155.652,1143
2024-06-05 22:45:00,155.534,155.463,155.657,155.648,1580
2024-06-05 22:30:00,155.549,155.42,155.563,155.536,1459
2024-06-05 22:15:00,155.681,155.54,155.701,155.555,1432
2024-06-05 22:00:00,155.646,155.619,155.697,155.68,1306
2024-06-05 21:45:00,155.628,155.589,155.723,155.642,1808
2024-06-05 21:30:00,155.483,155.352,155.686,155.625,2264
2024-06-05 21:15:00,155.486,155.448,155.531,155.483,1745
2024-06-05 21:00:00,155.649,155.46,155.649,155.489,1948
2024-06-05 20:45:00,155.724,155.592,155.726,155.647,1930
2024-06-05 20:30:00,155.824,155.7,155.858,155.725,1614
2024-06-05 20:15:00,155.773,155.728,155.829,155.825,1262
2024-06-05 20:00:00,155.911,155.765,155.923,155.771,1534
2024-06-05 19:45:00,155.928,155.87,155.945,155.913,1036
2024-06-05 19:30:00,155.995,155.86,156.019,155.926,1162
2024-06-05 19:15:00,155.839,155.83,156.006,155.996,886
2024-06-05 19:00:00,155.88,155.797,155.927,155.842,1166
2024-06-05 18:45:00,156.027,155.85,156.028,155.883,941
2024-06-05 18:30:00,156.073,156.01,156.076,156.023,780
2024-06-05 18:15:00,156.079,156.046,156.108,156.071,764
2024-06-05 18:00:00,156.052,155.978,156.087,156.08,618
2024-06-05 17:45:00,156.052,156.019,156.062,156.047,219
2024-06-05 17:30:00,156.039,156.015,156.076,156.058,243
2024-06-05 17:15:00,156.027,156.01,156.052,156.048,219
2024-06-05 17:00:00,156.1,155.995,156.102,156.023,280
2024-06-05 16:45:00,156.12,156.086,156.139,156.101,853
2024-06-05 16:30:00,156.134,156.11,156.157,156.118,907
2024-06-05 16:15:00,156.121,156.11,156.145,156.138,640
2024-06-05 16:00:00,156.088,156.078,156.124,156.118,765
2024-06-05 15:45:00,156.085,156.068,156.11,156.083,890
2024-06-05 15:30:00,156.082,156.06,156.101,156.085,868
2024-06-05 15:15:00,156.094,156.07,156.111,156.08,1121
2024-06-05 15:00:00,156.095,156.09,156.132,156.093,1017
2024-06-05 14:45:00,156.074,156.066,156.126,156.096,1314
2024-06-05 14:30:00,156.096,156.065,156.11,156.071,1094
2024-06-05 14:15:00,156.103,156.095,156.158,156.097,1170
2024-06-05 14:00:00,156.1,156.07,156.108,156.099,967
2024-06-05 13:45:00,156.109,156.09,156.115,156.102,967
2024-06-05 13:30:00,156.121,156.1,156.135,156.103,1182
2024-06-05 13:15:00,156.092,156.065,156.149,156.114,1534
2024-06-05 13:00:00,156.119,156.073,156.13,156.092,1486
2024-06-05 12:45:00,156.114,156.098,156.177,156.12,1532
2024-06-05 12:30:00,156.127,156.101,156.177,156.115,1749
2024-06-05 12:15:00,156.202,156.12,156.221,156.128,1925
2024-06-05 12:00:00,156.21,156.164,156.242,156.204,2031
2024-06-05 11:45:00,156.105,156.092,156.232,156.208,2064
2024-06-05 11:30:00,156.178,156.077,156.23,156.106,2140
2024-06-05 11:15:00,156.245,156.129,156.282,156.173,2258
2024-06-05 11:00:00,156.306,156.17,156.312,156.243,2479
2024-06-05 10:45:00,156.23,156.217,156.432,156.313,2716
2024-06-05 10:30:00,156.316,156.138,156.348,156.225,2807
2024-06-05 10:15:00,156.431,156.264,156.48,156.315,3302
2024-06-05 10:00:00,155.765,155.702,156.443,156.432,3692
2024-06-05 09:45:00,155.884,155.708,156.009,155.794,3185
2024-06-05 09:30:00,155.904,155.801,155.917,155.883,2619
2024-06-05 09:15:00,156.041,155.86,156.058,155.907,2140
2024-06-05 09:00:00,156.089,156.029,156.174,156.04,2305
2024-06-05 08:45:00,156.055,156.039,156.144,156.094,2333
