,date,open,low,high,close,volume
0,2024-06-05 23:45:00,1.08916,1.0888,1.0892,1.08904,627
1,2024-06-05 23:30:00,1.08932,1.0889,1.08933,1.08916,746
2,2024-06-05 23:15:00,1.08929,1.089,1.0894,1.08933,715
3,2024-06-05 23:00:00,1.08915,1.0889,1.08931,1.08928,818
4,2024-06-05 22:45:00,1.08943,1.089,1.0897,1.08916,1110
5,2024-06-05 22:30:00,1.08909,1.0889,1.0895,1.0894,1149
6,2024-06-05 22:15:00,1.08901,1.0887,1.0891,1.0891,967
7,2024-06-05 22:00:00,1.08939,1.0889,1.0894,1.08903,1008
8,2024-06-05 21:45:00,1.08895,1.0887,1.08942,1.08937,1349
9,2024-06-05 21:30:00,1.08907,1.0888,1.0895,1.08898,1454
10,2024-06-05 21:15:00,1.08879,1.0886,1.0891,1.08907,1246
11,2024-06-05 21:00:00,1.08816,1.088,1.08884,1.08879,1269
12,2024-06-05 20:45:00,1.08787,1.0877,1.08823,1.0882,1194
13,2024-06-05 20:30:00,1.08768,1.0875,1.0879,1.08787,971
14,2024-06-05 20:15:00,1.08759,1.0874,1.0878,1.08768,833
15,2024-06-05 20:00:00,1.0874,1.0872,1.08766,1.0875,850
16,2024-06-05 19:45:00,1.0873,1.0872,1.0875,1.08737,670
17,2024-06-05 19:30:00,1.08727,1.0871,1.0875,1.08738,386
18,2024-06-05 19:15:00,1.08731,1.0871,1.0875,1.0872,373
19,2024-06-05 19:00:00,1.08727,1.0871,1.0874,1.0873,509
20,2024-06-05 18:45:00,1.0872,1.087,1.0874,1.0873,410
21,2024-06-05 18:30:00,1.08702,1.0869,1.0875,1.0872,352
22,2024-06-05 18:15:00,1.08706,1.0868,1.0874,1.0868,360
23,2024-06-05 18:00:00,1.08702,1.0868,1.0872,1.08707,603
24,2024-06-05 17:45:00,1.08702,1.0868,1.0872,1.08697,562
25,2024-06-05 17:30:00,1.087,1.08677,1.0873,1.0871,380
26,2024-06-05 17:15:00,1.08693,1.08658,1.0872,1.08692,476
27,2024-06-05 17:00:00,1.08682,1.08636,1.0875,1.08691,356
28,2024-06-05 16:45:00,1.08679,1.08654,1.087,1.08682,756
29,2024-06-05 16:30:00,1.08685,1.0866,1.08691,1.0868,723
30,2024-06-05 16:15:00,1.08713,1.0867,1.0872,1.08684,667
31,2024-06-05 16:00:00,1.08738,1.0869,1.0874,1.08713,730
32,2024-06-05 15:45:00,1.08747,1.0871,1.08751,1.0874,1193
33,2024-06-05 15:30:00,1.08737,1.0872,1.0877,1.08748,874
34,2024-06-05 15:15:00,1.08751,1.0871,1.08751,1.08739,1089
35,2024-06-05 15:00:00,1.08755,1.0873,1.0877,1.0875,1111
36,2024-06-05 14:45:00,1.08735,1.087,1.08772,1.08755,1495
37,2024-06-05 14:30:00,1.08706,1.0869,1.0874,1.08732,1393
38,2024-06-05 14:15:00,1.08662,1.0865,1.08707,1.08706,1270
39,2024-06-05 14:00:00,1.08672,1.0864,1.0869,1.08669,1427
40,2024-06-05 13:45:00,1.08621,1.0859,1.08673,1.08667,1274
41,2024-06-05 13:30:00,1.0862,1.0859,1.0864,1.0862,1083
42,2024-06-05 13:15:00,1.08642,1.086,1.08655,1.0862,1442
43,2024-06-05 13:00:00,1.08648,1.0862,1.08675,1.08645,1425
44,2024-06-05 12:45:00,1.08669,1.086,1.0868,1.08643,1481
45,2024-06-05 12:30:00,1.08632,1.0862,1.08686,1.08672,1299
46,2024-06-05 12:15:00,1.0856,1.0854,1.08641,1.08633,1695
47,2024-06-05 12:00:00,1.08645,1.0853,1.08645,1.0854,1816
48,2024-06-05 11:45:00,1.08676,1.0861,1.08706,1.08648,1967
49,2024-06-05 11:30:00,1.08671,1.0862,1.087,1.08678,1929
50,2024-06-05 11:15:00,1.08698,1.0862,1.08703,1.0865,1932
51,2024-06-05 11:00:00,1.08663,1.0864,1.08701,1.08698,2040
52,2024-06-05 10:45:00,1.08743,1.0861,1.08744,1.08662,2510
53,2024-06-05 10:30:00,1.087,1.0867,1.08804,1.08744,2721
54,2024-06-05 10:15:00,1.08649,1.0862,1.08749,1.08697,3290
55,2024-06-05 10:00:00,1.08878,1.08614,1.08878,1.0865,4087
56,2024-06-05 09:45:00,1.08887,1.0882,1.0892,1.08853,3379
57,2024-06-05 09:30:00,1.08858,1.0883,1.08902,1.08886,2400
58,2024-06-05 09:15:00,1.08829,1.088,1.08874,1.0886,1792
59,2024-06-05 09:00:00,1.0884,1.088,1.08862,1.0882,1968
60,2024-06-05 08:45:00,1.0879,1.0876,1.08842,1.08837,1893
61,2024-06-05 08:30:00,1.08752,1.0871,1.08786,1.08782,1936
62,2024-06-05 08:15:00,1.08728,1.087,1.08772,1.08753,2591
63,2024-06-05 08:00:00,1.08679,1.0867,1.0874,1.08714,1783
64,2024-06-05 07:45:00,1.0864,1.08629,1.08691,1.08678,1436
65,2024-06-05 07:30:00,1.08627,1.0858,1.0866,1.0864,1449
66,2024-06-05 07:15:00,1.08617,1.086,1.0864,1.0861,1376
67,2024-06-05 07:00:00,1.08681,1.086,1.0869,1.08617,1399
68,2024-06-05 06:45:00,1.08668,1.0865,1.087,1.08683,1151
69,2024-06-05 06:30:00,1.08666,1.0863,1.0868,1.08667,1204
70,2024-06-05 06:15:00,1.08684,1.0865,1.087,1.08665,1262
71,2024-06-05 06:00:00,1.08732,1.0865,1.0874,1.08685,1535
72,2024-06-05 05:45:00,1.08756,1.0872,1.0877,1.08732,1249
73,2024-06-05 05:30:00,1.08744,1.0872,1.0878,1.0875,1280
74,2024-06-05 05:15:00,1.08728,1.0871,1.0876,1.08744,1380
75,2024-06-05 05:00:00,1.08754,1.087,1.0876,1.08726,1563
76,2024-06-05 04:45:00,1.08744,1.0872,1.0877,1.08753,1335
77,2024-06-05 04:30:00,1.0873,1.087,1.08752,1.08746,1345
78,2024-06-05 04:15:00,1.08733,1.0869,1.08754,1.08727,1375
79,2024-06-05 04:00:00,1.08717,1.08708,1.0875,1.08731,1508
80,2024-06-05 03:45:00,1.08767,1.0869,1.0877,1.08714,1792
81,2024-06-05 03:30:00,1.08777,1.0875,1.08793,1.08767,1718
82,2024-06-05 03:15:00,1.08737,1.0871,1.08788,1.08782,1761
83,2024-06-05 03:00:00,1.08757,1.0871,1.08784,1.0874,1893
84,2024-06-05 02:45:00,1.08756,1.0873,1.08801,1.08758,1229
85,2024-06-05 02:30:00,1.0874,1.0872,1.0877,1.08755,1129
86,2024-06-05 02:15:00,1.08738,1.087,1.0875,1.08739,1254
87,2024-06-05 02:00:00,1.08789,1.0872,1.088,1.0874,1459
88,2024-06-05 01:45:00,1.08773,1.0874,1.088,1.08791,1052
89,2024-06-05 01:30:00,1.08788,1.0875,1.088,1.08774,937
90,2024-06-05 01:15:00,1.08817,1.0877,1.0882,1.08789,802
91,2024-06-05 01:00:00,1.08806,1.0879,1.08822,1.088,878
92,2024-06-05 00:45:00,1.08796,1.0878,1.0881,1.0881,724
93,2024-06-05 00:30:00,1.08787,1.0876,1.088,1.08795,661
94,2024-06-05 00:15:00,1.08775,1.0875,1.0879,1.08786,807
95,2024-06-05 00:00:00,1.08781,1.0876,1.0879,1.08774,697
96,2024-06-04 23:45:00,1.08788,1.0876,1.088,1.08783,862
97,2024-06-04 23:30:00,1.08779,1.0875,1.0879,1.08789,722
98,2024-06-04 23:15:00,1.08815,1.0876,1.0882,1.08778,951
99,2024-06-04 23:00:00,1.08832,1.0879,1.08835,1.08814,1011
100,2024-06-04 22:45:00,1.0884,1.0881,1.0885,1.08831,700
101,2024-06-04 22:30:00,1.08844,1.0882,1.0886,1.0885,702
102,2024-06-04 22:15:00,1.08852,1.0882,1.08853,1.08845,668
103,2024-06-04 22:00:00,1.0884,1.0881,1.0886,1.0884,862
104,2024-06-04 21:45:00,1.08842,1.0881,1.08861,1.08838,1097
105,2024-06-04 21:30:00,1.08844,1.0879,1.08846,1.08841,919
106,2024-06-04 21:15:00,1.08829,1.088,1.0885,1.08846,874
107,2024-06-04 21:00:00,1.08842,1.0881,1.0885,1.0883,955
108,2024-06-04 20:45:00,1.08844,1.0881,1.08855,1.08841,1182
109,2024-06-04 20:30:00,1.08788,1.0877,1.0886,1.08846,895
110,2024-06-04 20:15:00,1.08808,1.0877,1.0881,1.08788,887
111,2024-06-04 20:00:00,1.08815,1.0877,1.0882,1.08808,1019
112,2024-06-04 19:45:00,1.08797,1.0879,1.0882,1.08814,658
113,2024-06-04 19:30:00,1.08804,1.0878,1.0882,1.08798,500
114,2024-06-04 19:15:00,1.0879,1.0879,1.0882,1.08805,358
115,2024-06-04 19:00:00,1.0878,1.0878,1.0882,1.0881,392
116,2024-06-04 18:45:00,1.0878,1.0877,1.0881,1.08794,302
117,2024-06-04 18:30:00,1.08797,1.0877,1.0883,1.0879,308
118,2024-06-04 18:15:00,1.08785,1.0877,1.0881,1.08797,283
119,2024-06-04 18:00:00,1.08785,1.0877,1.0881,1.08786,384
120,2024-06-04 17:45:00,1.08781,1.08764,1.0881,1.08775,642
121,2024-06-04 17:30:00,1.0879,1.08756,1.0881,1.08779,388
122,2024-06-04 17:15:00,1.088,1.0878,1.0882,1.08802,256
123,2024-06-04 17:00:00,1.088,1.0877,1.0883,1.088,281
124,2024-06-04 16:45:00,1.08782,1.0877,1.088,1.088,615
125,2024-06-04 16:30:00,1.08789,1.0877,1.088,1.08784,587
126,2024-06-04 16:15:00,1.08802,1.0877,1.0881,1.08789,619
127,2024-06-04 16:00:00,1.08809,1.0878,1.0881,1.08801,782
128,2024-06-04 15:45:00,1.08813,1.0879,1.08824,1.08808,1320
129,2024-06-04 15:30:00,1.08808,1.0878,1.08821,1.08814,1246
130,2024-06-04 15:15:00,1.08799,1.0878,1.0883,1.08807,1409
131,2024-06-04 15:00:00,1.08819,1.0877,1.08821,1.08798,1943
132,2024-06-04 14:45:00,1.08834,1.088,1.0885,1.08821,1502
133,2024-06-04 14:30:00,1.08842,1.088,1.08845,1.08835,1461
134,2024-06-04 14:15:00,1.08826,1.0881,1.08865,1.0884,1905
135,2024-06-04 14:00:00,1.08832,1.0879,1.0884,1.08826,1743
136,2024-06-04 13:45:00,1.08846,1.088,1.0888,1.0881,1646
137,2024-06-04 13:30:00,1.0883,1.088,1.08852,1.08844,1681
138,2024-06-04 13:15:00,1.08802,1.0878,1.0883,1.0881,1399
139,2024-06-04 13:00:00,1.088,1.0876,1.08813,1.08801,1671
140,2024-06-04 12:45:00,1.08813,1.0878,1.08834,1.08801,1660
141,2024-06-04 12:30:00,1.08822,1.0877,1.0884,1.08813,1721
142,2024-06-04 12:15:00,1.088,1.0879,1.0883,1.08823,1627
143,2024-06-04 12:00:00,1.08778,1.0876,1.0882,1.08814,1724
144,2024-06-04 11:45:00,1.08808,1.0876,1.08815,1.08775,1697
145,2024-06-04 11:30:00,1.08813,1.0876,1.08831,1.08808,1980
146,2024-06-04 11:15:00,1.08757,1.0873,1.08834,1.08816,2198
147,2024-06-04 11:00:00,1.08801,1.0874,1.0883,1.0874,2419
148,2024-06-04 10:45:00,1.0873,1.0871,1.0882,1.08801,2490
149,2024-06-04 10:30:00,1.087,1.0866,1.08761,1.08732,2558
150,2024-06-04 10:15:00,1.08684,1.0864,1.08716,1.08701,2987
151,2024-06-04 10:00:00,1.08636,1.0862,1.088,1.08682,3979
152,2024-06-04 09:45:00,1.08692,1.08635,1.0872,1.08644,2077
153,2024-06-04 09:30:00,1.0867,1.0864,1.08704,1.08691,2327
154,2024-06-04 09:15:00,1.08642,1.0861,1.0869,1.08669,1911
155,2024-06-04 09:00:00,1.08644,1.0861,1.0866,1.08645,2089
156,2024-06-04 08:45:00,1.08654,1.086,1.0868,1.08643,1918
157,2024-06-04 08:30:00,1.08671,1.0863,1.08701,1.08658,1851
158,2024-06-04 08:15:00,1.08668,1.0864,1.08693,1.08673,1971
159,2024-06-04 08:00:00,1.08615,1.086,1.08692,1.08666,2296
160,2024-06-04 07:45:00,1.08635,1.0858,1.08642,1.08614,1833
161,2024-06-04 07:30:00,1.08679,1.0863,1.0871,1.08635,1651
162,2024-06-04 07:15:00,1.08656,1.0864,1.087,1.0868,1799
163,2024-06-04 07:00:00,1.08663,1.0861,1.08687,1.0863,1923
164,2024-06-04 06:45:00,1.0866,1.0861,1.08705,1.08662,1854
165,2024-06-04 06:30:00,1.08652,1.0863,1.0868,1.08668,1990
166,2024-06-04 06:15:00,1.08666,1.0864,1.08693,1.0865,2079
167,2024-06-04 06:00:00,1.08714,1.0864,1.0872,1.08666,2033
168,2024-06-04 05:45:00,1.08782,1.087,1.0879,1.08716,1858
169,2024-06-04 05:30:00,1.08743,1.0874,1.08801,1.08781,2085
170,2024-06-04 05:15:00,1.08712,1.087,1.0877,1.08743,2247
171,2024-06-04 05:00:00,1.08808,1.0868,1.0882,1.0871,2309
172,2024-06-04 04:45:00,1.08774,1.0875,1.08815,1.08808,2172
173,2024-06-04 04:30:00,1.08785,1.0873,1.08813,1.0876,2163
174,2024-06-04 04:15:00,1.08876,1.0877,1.0891,1.08785,2108
175,2024-06-04 04:00:00,1.08901,1.0883,1.08902,1.08877,2384
176,2024-06-04 03:45:00,1.0886,1.0884,1.0893,1.089,1802
177,2024-06-04 03:30:00,1.08903,1.0883,1.0891,1.08862,2100
178,2024-06-04 03:15:00,1.0893,1.0885,1.0896,1.08904,2231
179,2024-06-04 03:00:00,1.08969,1.0891,1.08986,1.08929,2229
180,2024-06-04 02:45:00,1.08975,1.0895,1.09005,1.08969,1514
181,2024-06-04 02:30:00,1.08986,1.0895,1.09022,1.08975,1808
182,2024-06-04 02:15:00,1.09012,1.0898,1.09032,1.08987,1403
183,2024-06-04 02:00:00,1.09027,1.0898,1.0905,1.09013,1776
184,2024-06-04 01:45:00,1.09049,1.0901,1.09051,1.09029,1048
185,2024-06-04 01:30:00,1.09073,1.0903,1.0908,1.0905,830
186,2024-06-04 01:15:00,1.09101,1.0906,1.0911,1.0906,728
187,2024-06-04 01:00:00,1.0909,1.0907,1.0911,1.0909,616
188,2024-06-04 00:45:00,1.09075,1.0905,1.091,1.0909,694
189,2024-06-04 00:30:00,1.09095,1.0906,1.091,1.0906,620
190,2024-06-04 00:15:00,1.0908,1.0907,1.091,1.0908,585
191,2024-06-04 00:00:00,1.09072,1.0905,1.091,1.0909,597
192,2024-06-03 23:45:00,1.09093,1.0905,1.091,1.09073,603
193,2024-06-03 23:30:00,1.09084,1.0907,1.0911,1.09092,691
194,2024-06-03 23:15:00,1.09077,1.0905,1.0911,1.0908,634
195,2024-06-03 23:00:00,1.09075,1.0905,1.0909,1.09077,779
196,2024-06-03 22:45:00,1.09069,1.0905,1.0908,1.09074,577
197,2024-06-03 22:30:00,1.0906,1.0903,1.0907,1.09069,712
198,2024-06-03 22:15:00,1.09066,1.0904,1.09081,1.0906,738
199,2024-06-03 22:00:00,1.09073,1.0905,1.0909,1.09067,798
200,2024-06-03 21:45:00,1.09088,1.0906,1.091,1.09075,922
201,2024-06-03 21:30:00,1.09116,1.0906,1.09121,1.0909,1023
202,2024-06-03 21:15:00,1.09104,1.0909,1.0912,1.09115,771
203,2024-06-03 21:00:00,1.09125,1.0908,1.0914,1.09104,1014
204,2024-06-03 20:45:00,1.0916,1.0911,1.0916,1.0912,1058
205,2024-06-03 20:30:00,1.09127,1.0911,1.0916,1.0915,841
206,2024-06-03 20:15:00,1.09125,1.091,1.09141,1.0911,992
207,2024-06-03 20:00:00,1.0907,1.0906,1.0915,1.09126,1347
208,2024-06-03 19:45:00,1.09064,1.0905,1.0909,1.09071,723
209,2024-06-03 19:30:00,1.09082,1.0905,1.0909,1.09063,793
210,2024-06-03 19:15:00,1.09078,1.0906,1.0909,1.09082,627
211,2024-06-03 19:00:00,1.09069,1.0905,1.0909,1.09078,613
212,2024-06-03 18:45:00,1.09068,1.0905,1.0909,1.0907,412
213,2024-06-03 18:30:00,1.0908,1.0905,1.0909,1.0907,518
214,2024-06-03 18:15:00,1.09095,1.0906,1.091,1.0907,549
215,2024-06-03 18:00:00,1.09009,1.09009,1.0911,1.0908,573
216,2024-06-03 17:45:00,1.09028,1.08976,1.0905,1.09015,478
217,2024-06-03 17:30:00,1.0902,1.08984,1.0906,1.09028,408
218,2024-06-03 17:15:00,1.0902,1.0896,1.0903,1.0901,291
219,2024-06-03 17:00:00,1.09036,1.08976,1.0904,1.0901,280
220,2024-06-03 16:45:00,1.09011,1.09,1.0905,1.09036,868
221,2024-06-03 16:30:00,1.09006,1.0899,1.0902,1.0901,646
222,2024-06-03 16:15:00,1.08995,1.0898,1.0903,1.09005,522
223,2024-06-03 16:00:00,1.08996,1.0898,1.0901,1.0901,517
224,2024-06-03 15:45:00,1.08984,1.0897,1.09,1.08998,1104
225,2024-06-03 15:30:00,1.08969,1.0895,1.08985,1.08984,1271
226,2024-06-03 15:15:00,1.08985,1.0895,1.08993,1.0897,1179
227,2024-06-03 15:00:00,1.08971,1.0894,1.0899,1.08983,1454
228,2024-06-03 14:45:00,1.08938,1.0893,1.08976,1.0897,1576
229,2024-06-03 14:30:00,1.08927,1.0891,1.08961,1.0894,1593
230,2024-06-03 14:15:00,1.08873,1.0886,1.0894,1.08927,1634
231,2024-06-03 14:00:00,1.08877,1.0885,1.0889,1.08875,1679
232,2024-06-03 13:45:00,1.08879,1.0884,1.0889,1.0886,1484
233,2024-06-03 13:30:00,1.08877,1.0885,1.0889,1.08882,1367
234,2024-06-03 13:15:00,1.08833,1.0881,1.08884,1.0888,1427
235,2024-06-03 13:00:00,1.08849,1.088,1.08861,1.0883,1731
236,2024-06-03 12:45:00,1.08849,1.0883,1.08872,1.0885,1627
237,2024-06-03 12:30:00,1.08838,1.088,1.0887,1.0886,1846
238,2024-06-03 12:15:00,1.08865,1.0881,1.0888,1.0884,1786
239,2024-06-03 12:00:00,1.08891,1.0885,1.08904,1.08861,1953
240,2024-06-03 11:45:00,1.08885,1.0886,1.0891,1.08896,1743
241,2024-06-03 11:30:00,1.08871,1.0884,1.0891,1.08882,1764
242,2024-06-03 11:15:00,1.08821,1.088,1.08881,1.0887,1933
243,2024-06-03 11:00:00,1.08698,1.0868,1.0883,1.0882,2278
244,2024-06-03 10:45:00,1.08757,1.0866,1.0877,1.087,2860
245,2024-06-03 10:30:00,1.08788,1.0872,1.08801,1.08759,2859
246,2024-06-03 10:15:00,1.08794,1.0872,1.08822,1.08785,3282
247,2024-06-03 10:00:00,1.08527,1.08527,1.08814,1.08793,3914
248,2024-06-03 09:45:00,1.08534,1.0848,1.0854,1.08509,2262
249,2024-06-03 09:30:00,1.08521,1.0849,1.0854,1.08535,2077
250,2024-06-03 09:15:00,1.0848,1.0846,1.0853,1.08516,1645
251,2024-06-03 09:00:00,1.08447,1.0844,1.08491,1.08479,1748
252,2024-06-03 08:45:00,1.08476,1.0841,1.0848,1.08443,1847
253,2024-06-03 08:30:00,1.0847,1.0845,1.085,1.08476,1699
254,2024-06-03 08:15:00,1.0842,1.084,1.0848,1.08466,1714
255,2024-06-03 08:00:00,1.08434,1.0839,1.08441,1.0842,1691
256,2024-06-03 07:45:00,1.08431,1.0839,1.08448,1.08432,1621
257,2024-06-03 07:30:00,1.08415,1.0839,1.08433,1.08429,1631
258,2024-06-03 07:15:00,1.08407,1.0839,1.08446,1.08412,1458
259,2024-06-03 07:00:00,1.0837,1.0836,1.0842,1.08408,1693
260,2024-06-03 06:45:00,1.08322,1.083,1.0839,1.0837,1514
261,2024-06-03 06:30:00,1.0832,1.0826,1.08336,1.08325,1489
262,2024-06-03 06:15:00,1.08297,1.0828,1.08342,1.08318,1559
263,2024-06-03 06:00:00,1.08348,1.0827,1.08355,1.08299,1661
264,2024-06-03 05:45:00,1.08345,1.0831,1.08373,1.08346,1630
265,2024-06-03 05:30:00,1.08382,1.0832,1.0842,1.08344,1612
